number,id,country,Country__colour,location,locImputation,nonJitLat,nonJitLong,latitude,longitude,collection_date,dateImputation,year,month,day
122,EBOV|DML24706|KT357844|SLE|Kono|2015-01-28,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.710397793,-10.90984723,2015-01-28,,2015,1,28
123,EBOV|DML24708|KT357845|SLE|Kono|2015-01-28,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.627400358,-10.94134738,2015-01-28,,2015,1,28
124,EBOV|DML24720|KT357846|SLE|Kono|2015-01-29,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.71859958,-10.97585034,2015-01-29,,2015,1,29
125,EBOV|DML24758|KT357847|SLE|Kono|2015-01-30,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.663118327,-10.98021745,2015-01-30,,2015,1,30
126,EBOV|DML24818|KT357848|SLE|Kono|2015-02-03,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.654106808,-11.00412467,2015-02-03,,2015,2,3
127,EBOV|DML24825|KT357849|SLE|Tonkolili|2015-02-04,SLE,#8392b5,Tonkolili,,8.465489914,-12.21193614,8.464347489,-12.28157071,2015-02-04,,2015,2,4
128,EBOV|DML24853|KT357850|SLE|Kono|2015-02-06,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.574117223,-10.91109002,2015-02-06,,2015,2,6
129,EBOV|DML24854|KT357851|SLE|Kono|2015-02-06,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.612062489,-11.0171005,2015-02-06,,2015,2,6
130,EBOV|DML25083|KT357852|SLE|Kono|2015-02-18,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.599409281,-10.96277918,2015-02-18,,2015,2,18
131,EBOV|DML25103|KT357853|SLE|Kono|2015-02-19,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.573270698,-10.97828941,2015-02-19,,2015,2,19
132,EBOV|DML25123|KT357854|SLE|Kenema|2015-02-18,SLE,#8392b5,Kenema,,7.858614095,-11.18956765,7.812183282,-11.14155434,2015-02-18,,2015,2,18
133,EBOV|DML25180|KT357855|SLE|Kono|2015-02-23,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.62144892,-10.94417588,2015-02-23,,2015,2,23
134,EBOV|DML25344|KT357856|SLE|Kono|2015-03-06,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.665476859,-11.02209534,2015-03-06,,2015,3,6
135,EBOV|DML25411|KT357857|SLE|Kono|2015-03-10,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.581881386,-11.04670954,2015-03-10,,2015,3,10
136,EBOV|EM_COY_2015_023888||GIN|Dubreka|2015-09-15,GIN,#63a993,Dubreka,,10.07994391,-13.62517021,10.12137781,-13.56496413,2015-09-15,,2015,9,15
137,EBOV|CON-10193||GIN|Conakry|2015-08-03,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.686412736,-13.55442466,2015-08-03,,2015,8,3
138,EBOV|CON-10512||GIN|Conakry|2015-08-11,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.607405379,-13.63855657,2015-08-11,,2015,8,11
139,EBOV|CON-10590||GIN|Conakry|2015-08-13,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.605341934,-13.60923794,2015-08-13,,2015,8,13
140,EBOV|CON-10786||GIN|Conakry|2015-08-17,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.692241639,-13.56229797,2015-08-17,,2015,8,17
141,EBOV|CON-11010||GIN|Conakry|2015-08-23,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.592463664,-13.6434405,2015-08-23,,2015,8,23
142,EBOV|CON-8559||GIN|Conakry|2015-06-21,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.571135831,-13.5484324,2015-06-21,,2015,6,21
143,EBOV|CON-8811||GIN|Dubreka|2015-06-27,GIN,#63a993,Dubreka,,10.07994391,-13.62517021,10.04662267,-13.64165636,2015-06-27,,2015,6,27
144,EBOV|CON12930||GIN|Conakry|2015-10-13,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.554719748,-13.58720849,2015-10-13,,2015,10,13
145,EBOV|EM_COY_2015_013576||GIN|Coyah|2015-03-09,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.760912248,-13.32572289,2015-03-09,,2015,3,9
146,EBOV|EM_COY_2015_013671||GIN|Coyah|2015-03-12,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.715631939,-13.35166697,2015-03-12,,2015,3,12
147,EBOV|EM_COY_2015_013731||GIN|Coyah|2015-03-14,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.678245855,-13.34995985,2015-03-14,,2015,3,14
148,EBOV|EM_COY_2015_013795||GIN|Forecariah|2015-03-16,GIN,#63a993,Forecariah,,9.431778161,-13.08275123,9.430004523,-13.01587032,2015-03-16,,2015,3,16
149,EBOV|EM_COY_2015_013857||GIN|Forecariah|2015-03-18,GIN,#63a993,Forecariah,,9.431778161,-13.08275123,9.402919134,-13.06209557,2015-03-18,,2015,3,18
150,EBOV|EM_COY_2015_013962||GIN|Forecariah|2015-03-22,GIN,#63a993,Forecariah,,9.431778161,-13.08275123,9.455990388,-13.05645063,2015-03-22,,2015,3,22
151,EBOV|EM_COY_2015_014060||GIN|Dubreka|2015-03-25,GIN,#63a993,Dubreka,,10.07994391,-13.62517021,10.11416197,-13.67136171,2015-03-25,,2015,3,25
152,EBOV|EM_COY_2015_014098||GIN|Conakry|2015-03-26,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.630413701,-13.51581719,2015-03-26,,2015,3,26
